languagerepresentation,length,time
node-BitString,16,0.032117729
node-BitString,32,0.050894419
node-BitString,64,0.090131259
node-BitString,128,0.173591996
node-BitString,256,0.338841745
node-BitString,512,0.669951801
node-BitString,1024,1.343738965
node-BitString,2048,2.661463661
node-BitString,4096,5.334807623
node-BitString,8192,10.656344426
node-BitString,16384,21.35924739
node-BitString,32768,45.279046917
node-BitString,65536,89.696068067
lua-BitString, 16, 0.425123
lua-BitString, 32, 0.903228
lua-BitString, 64, 1.587921
lua-BitString, 128, 3.121785
lua-BitString, 256, 6.507131
lua-BitString, 512, 13.093668
lua-BitString, 1024, 27.752311
lua-BitString, 2048, 68.166862
lua-BitString, 4096, 156.95797
lua-BitString, 8192, 399.812722
lua-BitString, 16384, 1167.967072
lua-BitString, 32768, 3924.122354
Scala-BitString,16,0.106083361
Scala-BitString,32,0.138533372
Scala-BitString,64,0.263253553
Scala-BitString,128,0.505751517
Scala-BitString,256,1.070102061
Scala-BitString,512,2.033624344
Scala-BitString,1024,3.99146544
Scala-BitString,2048,8.325956743
Scala-BitString,4096,16.25921805
Scala-BitString,8192,32.141293477
Scala-BitString,16384,64.932744401
Scala-BitString,32768,129.33726306
Scala-BitString,65536,255.591937452
C++-BitString,16,0.320763
C++-BitString,32,0.582954
C++-BitString,64,1.13898
C++-BitString,128,2.21816
C++-BitString,256,4.3551
C++-BitString,512,8.63622
C++-BitString,1024,17.3216
C++-BitString,2048,34.5093
C++-BitString,4096,68.5846
C++-BitString,8192,137.109
C++-BitString,16384,275.517
C++-BitString,32768,545.012
C++-BitString,65536,1079.13
Go-BitVector, 16 ,  0.06582505500000001
Go-BitVector, 32 ,  0.129960704
Go-BitVector, 64 ,  0.24478304
Go-BitVector, 128 ,  0.48602542600000004
Go-BitVector, 256 ,  0.981477229
Go-BitVector, 512 ,  1.881513408
Go-BitVector, 1024 ,  3.912918519
Go-BitVector, 2048 ,  7.583085288
Go-BitVector, 4096 ,  16.279742858
Go-BitVector, 8192 ,  31.466779441
Go-BitVector, 16384 ,  62.704547897
Go-BitVector, 32768 ,  124.028645727
Go-Vector, 16 ,  0.065811911
Go-Vector, 32 ,  0.11924643500000001
Go-Vector, 64 ,  0.23174829800000002
Go-Vector, 128 ,  0.45536432600000004
Go-Vector, 256 ,  0.91217199
Go-Vector, 512 ,  1.814523305
Go-Vector, 1024 ,  3.6337570340000003
Go-Vector, 2048 ,  7.159596106
Go-Vector, 4096 ,  14.21717706
Go-Vector, 8192 ,  28.251752336
Go-Vector, 16384 ,  56.876198583
Go-Vector, 32768 ,  114.056825822
C-BitString,16,0.014778
C-BitString,32,0.023213
C-BitString,64,0.043976
C-BitString,128,0.085193
C-BitString,256,0.168039
C-BitString,512,0.334151
C-BitString,1024,0.667286
C-BitString,2048,1.329405
C-BitString,4096,2.654057
C-BitString,8192,5.295050
C-BitString,16384,10.588549
C-BitString,32768,21.237932
C-BitString,65536,42.408526
PHP-BitString,16,0.37885999679565
PHP-BitString,32,0.74978280067444
PHP-BitString,64,1.478866815567
PHP-BitString,128,2.9241468906403
PHP-BitString,256,5.8021740913391
PHP-BitString,512,11.622333049774
PHP-BitString,1024,23.1806640625
PHP-BitString,2048,46.095088005066
PHP-BitString,4096,93.922008991241
PHP-BitString,8192,186.82227706909
PHP-BitString,16384,366.90199613571
PHP-BitString,32768,750.64614486694
Java-BitSet,16 , 0.003030485
